,label,speed
168,1,"[37, 36, 34, 33, 31, 29, 23, 19, 11, 10, 11, 10]"
169,1,"[18, 19, 24, 21, 17, 15, 17, 13, 12, 16, 18, 17]"
170,1,"[37, 35, 36, 33, 25, 19, 17, 15, 12, 13, 12, 13]"
171,1,"[17, 16, 21, 17, 17, 17, 18, 17, 20, 23, 23, 10]"
172,1,"[11, 14, 19, 16, 18, 16, 16, 14, 18, 17, 13, 11]"
173,1,"[30, 33, 35, 37, 36, 36, 33, 30, 22, 17, 13, 11]"
174,1,"[17, 17, 21, 17, 17, 17, 12, 13, 16, 10, 10, 10]"
175,1,"[34, 31, 30, 30, 31, 34, 32, 28, 25, 23, 23, 12]"
176,1,"[24, 23, 27, 22, 20, 22, 26, 25, 23, 17, 15, 11]"
177,1,"[31, 39, 38, 37, 30, 27, 24, 25, 27, 21, 18, 13]"
178,1,"[25, 20, 16, 14, 18, 21, 21, 24, 18, 15, 15, 10]"
179,1,"[23, 16, 11, 13, 12, 11, 13, 13, 14, 11, 14, 15]"
180,1,"[41, 40, 43, 41, 40, 36, 33, 30, 31, 30, 27, 15]"
181,1,"[41, 42, 41, 40, 43, 42, 39, 38, 35, 29, 19, 11]"
182,1,"[15, 14, 17, 24, 20, 21, 17, 19, 16, 16, 15, 12]"
183,1,"[38, 39, 33, 25, 18, 16, 15, 14, 10, 11, 11, 10]"
184,1,"[16, 21, 20, 22, 19, 15, 15, 17, 15, 15, 15, 14]"
185,1,"[34, 32, 34, 33, 30, 23, 19, 13, 13, 18, 16, 14]"
186,1,"[37, 36, 35, 36, 35, 39, 29, 19, 15, 17, 14, 13]"
187,1,"[23, 27, 35, 37, 39, 38, 38, 36, 29, 19, 15, 12]"
188,1,"[30, 38, 32, 34, 34, 28, 23, 19, 13, 11, 10, 10]"
189,1,"[20, 20, 14, 18, 18, 18, 15, 14, 12, 12, 10, 10]"
190,1,"[28, 26, 21, 19, 22, 20, 15, 19, 26, 34, 23, 15]"
191,1,"[14, 16, 19, 16, 17, 16, 16, 17, 11, 12, 11, 13]"
192,1,"[31, 26, 23, 25, 20, 17, 16, 18, 20, 15, 13, 11]"
193,1,"[15, 14, 13, 13, 16, 15, 16, 12, 13, 15, 10, 11]"
194,1,"[42, 41, 39, 38, 38, 35, 34, 28, 30, 26, 23, 16]"
195,1,"[28, 21, 16, 14, 11, 13, 16, 12, 11, 10, 11, 13]"
196,1,"[28, 25, 26, 31, 31, 27, 21, 22, 19, 18, 16, 15]"
197,1,"[34, 32, 29, 28, 16, 13, 13, 12, 11, 12, 10, 10]"
198,1,"[35, 36, 36, 34, 27, 24, 21, 22, 25, 23, 17, 13]"
199,1,"[38, 36, 34, 40, 33, 25, 17, 16, 15, 15, 15, 10]"
200,1,"[17, 21, 16, 16, 16, 16, 14, 11, 11, 11, 11, 10]"
201,1,"[38, 28, 29, 33, 31, 22, 25, 29, 21, 11, 11, 11]"
202,1,"[10, 11, 13, 15, 13, 20, 18, 15, 29, 24, 16, 12]"
203,1,"[33, 31, 29, 24, 19, 18, 12, 10, 10, 10, 12, 11]"
204,1,"[12, 12, 16, 17, 22, 13, 11, 10, 13, 14, 12, 11]"
205,1,"[32, 31, 27, 24, 20, 12, 11, 10, 11, 10, 12, 11]"
206,1,"[16, 14, 14, 16, 14, 14, 16, 16, 15, 14, 16, 11]"
207,1,"[36, 35, 34, 31, 32, 25, 18, 15, 12, 14, 14, 11]"
208,1,"[16, 16, 19, 15, 12, 10, 19, 17, 13, 14, 10, 12]"
209,1,"[33, 26, 18, 16, 15, 16, 14, 14, 17, 20, 28, 16]"
210,1,"[17, 11, 16, 14, 11, 14, 20, 16, 12, 12, 16, 18]"
211,1,"[24, 19, 17, 20, 22, 19, 23, 27, 26, 27, 25, 13]"
212,1,"[25, 22, 20, 17, 23, 22, 21, 16, 16, 12, 17, 10]"
213,1,"[33, 31, 29, 35, 37, 34, 31, 24, 19, 14, 13, 11]"
214,1,"[16, 21, 28, 31, 28, 28, 22, 14, 14, 11, 11, 10]"
215,1,"[21, 17, 14, 15, 13, 16, 18, 17, 19, 18, 11, 10]"
216,1,"[24, 18, 19, 18, 25, 26, 26, 22, 20, 18, 16, 12]"
217,1,"[16, 18, 14, 18, 24, 27, 30, 28, 25, 19, 12, 10]"
218,1,"[35, 36, 35, 30, 28, 27, 22, 17, 15, 15, 11, 11]"
219,1,"[19, 17, 16, 20, 17, 14, 15, 18, 20, 15, 11, 12]"
220,1,"[25, 30, 35, 38, 32, 31, 32, 28, 17, 19, 22, 20]"
221,1,"[35, 29, 23, 21, 18, 15, 13, 14, 11, 10, 10, 10]"
222,1,"[24, 21, 16, 15, 12, 15, 15, 16, 18, 11, 13, 11]"
223,1,"[18, 15, 17, 24, 15, 13, 11, 12, 11, 14, 13, 10]"
224,1,"[16, 14, 12, 15, 16, 15, 16, 13, 14, 13, 12, 12]"
225,1,"[20, 25, 25, 30, 36, 33, 30, 30, 27, 16, 12, 12]"
226,1,"[19, 17, 14, 10, 13, 13, 14, 15, 13, 15, 16, 11]"
227,1,"[18, 20, 24, 30, 34, 38, 34, 27, 23, 17, 14, 15]"
228,1,"[13, 15, 10, 11, 12, 14, 17, 21, 16, 10, 10, 10]"
229,1,"[42, 41, 40, 30, 19, 18, 18, 13, 10, 13, 12, 11]"
230,1,"[16, 15, 18, 11, 12, 11, 10, 10, 10, 15, 10, 10]"
231,1,"[28, 35, 34, 34, 30, 22, 16, 12, 11, 10, 10, 10]"
232,1,"[12, 12, 13, 16, 17, 20, 16, 20, 25, 22, 19, 10]"
233,1,"[17, 14, 12, 14, 18, 22, 23, 28, 20, 13, 12, 12]"
234,1,"[18, 18, 17, 17, 17, 13, 13, 10, 13, 10, 13, 10]"
235,1,"[41, 38, 39, 40, 41, 40, 38, 33, 26, 19, 14, 10]"
236,1,"[42, 43, 42, 41, 40, 37, 31, 23, 18, 13, 13, 10]"
237,1,"[13, 12, 14, 14, 15, 14, 16, 14, 13, 12, 10, 11]"
238,1,"[12, 12, 13, 19, 20, 23, 25, 22, 16, 13, 13, 10]"
239,1,"[13, 15, 13, 19, 16, 12, 11, 12, 14, 13, 15, 12]"
240,1,"[20, 23, 26, 27, 33, 35, 35, 35, 26, 16, 12, 11]"
241,1,"[23, 19, 22, 20, 21, 15, 17, 17, 16, 15, 15, 10]"
242,1,"[16, 16, 18, 12, 15, 14, 13, 12, 13, 14, 12, 12]"
243,1,"[39, 26, 18, 18, 19, 17, 16, 17, 12, 11, 16, 12]"
244,1,"[20, 26, 28, 35, 39, 34, 33, 30, 21, 13, 17, 10]"
245,1,"[31, 36, 33, 36, 37, 35, 32, 33, 32, 22, 14, 12]"
246,1,"[23, 17, 14, 13, 15, 19, 26, 22, 24, 27, 24, 15]"
247,1,"[12, 12, 12, 13, 12, 13, 13, 12, 13, 16, 10, 13]"
248,1,"[11, 11, 13, 14, 13, 13, 14, 12, 15, 15, 12, 10]"
249,1,"[30, 29, 26, 18, 14, 14, 15, 16, 16, 11, 11, 13]"
250,1,"[17, 12, 10, 11, 11, 13, 16, 13, 14, 14, 13, 13]"
251,1,"[39, 37, 39, 39, 37, 35, 31, 32, 22, 15, 18, 12]"
252,1,"[22, 17, 17, 12, 11, 13, 18, 14, 15, 13, 10, 11]"
253,1,"[21, 15, 17, 15, 22, 28, 28, 18, 14, 14, 11, 10]"
254,1,"[14, 11, 12, 14, 11, 13, 12, 17, 10, 13, 13, 14]"
255,1,"[43, 42, 40, 30, 20, 18, 22, 21, 21, 21, 16, 13]"
256,1,"[28, 24, 18, 18, 16, 18, 15, 10, 14, 13, 12, 10]"
257,1,"[14, 10, 17, 15, 13, 14, 13, 16, 19, 13, 13, 10]"
258,1,"[12, 11, 12, 14, 10, 11, 13, 15, 18, 14, 11, 10]"
259,1,"[20, 18, 19, 20, 29, 31, 34, 36, 30, 27, 14, 11]"
260,1,"[12, 13, 10, 14, 16, 17, 22, 19, 16, 16, 14, 14]"
261,1,"[42, 37, 37, 33, 28, 28, 29, 28, 29, 27, 28, 17]"
262,1,"[24, 24, 24, 24, 25, 26, 28, 30, 36, 33, 28, 18]"
263,1,"[41, 40, 40, 41, 37, 38, 33, 35, 35, 27, 21, 20]"
264,1,"[33, 32, 30, 28, 30, 29, 29, 31, 31, 18, 13, 13]"
265,1,"[34, 34, 34, 33, 32, 35, 36, 34, 22, 13, 15, 10]"
266,1,"[32, 35, 36, 34, 36, 35, 22, 29, 34, 15, 12, 10]"
267,1,"[34, 29, 32, 31, 36, 27, 19, 14, 10, 13, 10, 10]"
268,1,"[35, 35, 34, 33, 27, 12, 16, 19, 17, 19, 18, 13]"
269,1,"[18, 20, 20, 19, 20, 22, 27, 28, 24, 27, 17, 10]"
270,1,"[36, 36, 34, 33, 32, 34, 21, 16, 16, 12, 17, 11]"
271,1,"[34, 32, 27, 30, 30, 25, 26, 32, 28, 19, 10, 12]"
272,1,"[28, 27, 21, 22, 21, 25, 24, 21, 25, 25, 17, 11]"
273,1,"[34, 33, 33, 24, 20, 20, 18, 16, 16, 17, 14, 14]"
274,1,"[34, 34, 34, 32, 19, 14, 12, 21, 32, 28, 19, 11]"
275,1,"[18, 32, 33, 33, 30, 32, 29, 28, 21, 15, 13, 13]"
276,1,"[31, 28, 24, 20, 18, 16, 18, 18, 21, 11, 10, 10]"
